comname,est_year,avg_depth,avg_bot_temp,avg_sur_temp,avg_lat,avg_lon
spotted hake,1986,121.69119243344772,12.381003206189103,14.549329189502812,37.930679379986216,-73.46104997057223
spotted hake,1987,153.2248194173779,10.963214024176036,12.983352247595572,38.087595954860554,-73.33632892702212
spotted hake,1988,113.6483969359347,11.580905303379087,14.170755652975053,38.148035761625934,-73.66343845310635
spotted hake,1989,108.25811086444637,11.381190592638198,16.210094335618358,37.701935220825284,-73.9763489286181
spotted hake,1990,114.67222805893901,10.993962528850643,15.946569212874813,37.6612749809006,-74.06665964421614
spotted hake,1991,126.42365789603298,12.74886480658502,18.582244699749584,37.3389859202196,-74.11861607892794
spotted hake,1992,103.1918922856339,12.017268540804768,15.226216322348215,38.135582926360684,-73.73810374677268
spotted hake,1993,89.77627130002963,9.65123470584977,14.937227900562014,38.062125804168666,-73.89937260495707
spotted hake,1994,103.869108623427,11.06339879627035,14.386628246471712,38.281270609970804,-73.47194417811974
spotted hake,1995,106.88930713914283,11.630095619017496,16.24444326871776,38.296562623680614,-73.41322705520662
spotted hake,1996,115.90149632313106,10.38100308389685,16.49713869973072,37.706819057166925,-73.93697742647458
spotted hake,1997,110.65415069929,10.887372045986464,14.882715416137241,38.38687366728267,-73.39076795997363
spotted hake,1998,109.91177456801242,9.419796610007676,13.866082137056559,38.548368169722025,-73.18145036155755
spotted hake,1999,113.9681078792599,11.868811753819532,15.859178472290584,37.99797057200216,-73.78976894878141
spotted hake,2000,110.58355926441216,11.89901707452945,16.241523064006113,38.16561904600466,-73.5383089281523
spotted hake,2001,123.65473506786631,11.973896261004816,16.53301279832134,38.16787582867326,-73.50618863859859
spotted hake,2002,97.09878987477151,11.271393047263219,16.48867528885963,38.43094805346522,-73.2526544229332
spotted hake,2003,86.30865381602467,9.548467262773256,13.820063265634992,38.25553080502914,-73.66273700682453
spotted hake,2004,106.81790845646864,8.398343321665646,14.791251046110075,38.02598994753487,-73.91534832616425
spotted hake,2005,119.94783580740028,11.135340964803806,15.700555451503753,37.94690800805263,-73.57466699897716
spotted hake,2006,106.99690460174605,11.158539547366894,14.746655332337765,38.281808562863354,-73.49664078791415
spotted hake,2007,111.72414349705551,10.26309736720329,14.847366843832484,38.64336707097816,-73.18723881738481
spotted hake,2008,82.78594292379825,10.706594379446955,14.08806955385332,38.48570146859356,-73.33131630400243
spotted hake,2009,153.34059472112813,11.764447931868986,15.834946771906388,38.03671209506149,-73.32627076096391
spotted hake,2010,127.90313068618794,11.753964112612108,14.685470092723435,38.30691649122409,-73.33640317600958
