comname,group,mean_sst,mean_bt,mean_depth,mean_lat,mean_lon
butterfish,2010-2019,14.89994797827817,12.35934581996539,112.70772579041252,39.033474563971545,-71.99601865700059
chain dogfish,1970-2009,14.945634341938673,11.536758301715672,163.26858391585162,38.1315419209441,-73.42502635623539
chain dogfish,2010-2019,16.348613528443728,12.216073921464119,179.4801171223666,38.68316358215771,-72.74441186628395
cusk,1970-2009,8.368479512603773,7.265063912088918,189.2323421591425,42.64778353412373,-67.99898229088842
cusk,2010-2019,9.97251159751551,8.637837435143977,194.44163458246211,42.45773319970204,-67.51583649676029
fawn cusk-eel,1970-2009,13.322646527451958,11.308628018601434,123.05346600002889,39.70495667054861,-70.90469149268958
fawn cusk-eel,2010-2019,14.948693121154088,12.344100521188496,152.71836418759162,39.60513170722591,-71.0174657188603
fourbeard rockling,1970-2009,8.922720100518276,6.399799421160367,128.35632137350527,42.54214913411704,-69.52299856042879
fourbeard rockling,2010-2019,10.43021278842216,7.3225012918138175,153.63551463310705,42.7874737599871,-69.05685725229098
fourspot flounder,1970-2009,12.018467283627283,10.390394651832356,99.19053706907182,40.114297390850176,-70.690999615637807
fourspot flounder,2010-2019,13.58432416213811,11.133120428558357,127.17578134445905,40.07070054208605,-70.30713497214252
goosefish,1970-2009,10.399633099150869,8.516783638236635,163.0420306206789,41.18453077811929,-69.97118396697256
goosefish,2010-2019,11.726398140604596,9.498809576207774,176.67380082716195,41.30460401978224,-69.71562893828505
gulf stream flounder,1970-2009,12.029985613720886,9.622039038096847,90.73481291066255,40.154669061414864,-70.79855503533817
gulf stream flounder,2010-2019,13.800357606092081,10.356962100366113,109.00742065559731,40.08102506329715,-71.21089341931932
haddock,1970-2009,8.911430246965189,6.863323072853288,114.16954850518923,42.02488910607985,-67.35903898816812
haddock,2010-2019,10.56700997598726,8.447246582655948,110.61509799157908,41.88871394035373,-67.7132572263333
jonah crab,1970-2009,11.119944170031403,8.818309301529608,152.9490705004845,41.10984303957128,-69.85988786739323
jonah crab,2010-2019,11.905958203625872,8.425458228275886,169.74943379494206,41.791159374385245,-69.60853417546016
little skate,1970-2009,10.342713504740187,8.949330283774627,57.821171540289775,40.872933134076696,-69.76625496875657
little skate,2010-2019,12.088385741206253,10.00717686479404,58.76925201695954,40.65186994359375,-70.3741433986799
longfin squid,1970-2009,13.716323549127326,11.929819465186396,102.41760376999244,39.007797427572434,-72.30372072149555
longfin squid,2010-2019,15.218094964140612,12.56982131178962,114.56008231088005,38.97842563080739,-72.16474404402916
